Posição;Município;População
1;São Paulo;11253503
2;Rio de Janeiro;6323037
3;Salvador;2676606
4;Brasília;2562963
5;Fortaleza;2447409
6;Belo Horizonte;2375151
7;Manaus;1802525
8;Curitiba;1746896
9;Recife;1536934
10;Porto Alegre;1409939
11;Belém;1392031
12;Goiânia;1301892
13;Guarulhos;1222357
14;Campinas;1080999
15;São Luís;1014837
16;São Gonçalo;999901
17;Maceió;932608
18;Duque de Caxias;855046
19;Teresina;814439
20;Natal;803811
21;Nova Iguaçu;795212
22;Campo Grande;787204
23;São Bernardo do Campo;765203
24;João Pessoa;723514
25;Santo André;673914
26;Osasco;666469
27;Jaboatão dos Guararapes;644699
28;São José dos Campos;629921
29;Ribeirão Preto;604682
30;Uberlândia;604013
31;Contagem;603442
32;Sorocaba;586311
33;Aracaju;570937
34;Feira de Santana;556756
35;Cuiabá;551350
36;Juiz de Fora;516247
37;Joinville;515250
38;Londrina;506645
39;Niterói;487327
40;Ananindeua;471744
41;Belford Roxo;469261
42;Campos dos Goytacazes;463545
43;São João de Meriti;459356
44;Aparecida de Goiânia;455735
45;Caxias do Sul;435482
46;Porto Velho;428527
47;Florianópolis;421203
48;Santos;419757
49;Mauá;417281
50;Vila Velha;414420
51;Serra;409324
52;São José do Rio Preto;408435
53;Macapá;397913
54;Mogi das Cruzes;387241
55;Diadema;386039
56;Campina Grande;385276
57;Betim;377547
58;Olinda;375559
59;Jundiaí;370251
60;Carapicuíba;369908
61;Piracicaba;364872
62;Montes Claros;361971
63;Maringá;357117
64;Cariacica;348933
65;Bauru;344039
66;Rio Branco;335796
67;Anápolis;335032
68;São Vicente;332424
69;Pelotas;327778
70;Vitória;325453
71;Caucaia;324738
72;Canoas;324025
73;Itaquaquecetuba;321854
74;Franca;318785
75;Caruaru;314951
76;Ponta Grossa;311697
77;Blumenau;309214
78;Vitória da Conquista;306374
79;Paulista;300611
80;Ribeirão das Neves;296376
81;Cascavel;296172
82;Petrópolis;296044
83;Uberaba;295988
84;Santarém;294774
85;Petrolina;294081
86;Guarujá;290607
87;Boa Vista;284258
88;Taubaté;278724
89;Limeira;276010
90;Governador Valadares;263594
91;São José dos Pinhais;263488
92;Suzano;262568
93;Santa Maria;261027
94;Praia Grande;260769
95;Mossoró;259886
96;Volta Redonda;257996
97;Foz do Iguaçu;256081
98;Gravataí;255762
99;Várzea Grande;252709
100;Juazeiro do Norte;249936
101;Imperatriz;247505
102;Taboão da Serra;244719
103;Camaçari;242984
104;Sumaré;241437
105;Barueri;240656
106;Embu;240007
107;Viamão;239234
108;Ipatinga;239177
109;Novo Hamburgo;239051
110;Marabá;233462
111;Palmas;228297
112;Magé;228150
113;São Carlos;221936
114;Itaboraí;218090
115;Marília;216684
116;São Leopoldo;214210
117;Sete Lagoas;214071
118;Arapiraca;214067
119;Divinópolis;213076
120;Colombo;213027
121;Jacareí;211308
122;Americana;210701
123;Maracanaú;209748
124;Araraquara;208725
125;Presidente Prudente;207625
126;Macaé;206748
127;Itabuna;204710
128;São José;203384
129;Santa Luzia;203184
130;Parnamirim;202413
131;Indaiatuba;201848
132;Cotia;201023
133;Itapevi;200874
134;Juazeiro;197984
135;Rio Grande;197253
136;Dourados;196068
137;Alvorada;195718
138;Rondonópolis;195550
139;Criciúma;192308
140;Hortolândia;192225
141;Cachoeiro de Itapemirim;189878
142;Sobral;188271
143;Rio Claro;186299
144;Cabo Frio;186222
145;Cabo de Santo Agostinho;185123
146;Passo Fundo;184869
147;Ilhéus;184231
148;Chapecó;183561
149;Itajaí;183388
150;Nova Friburgo;182016
151;Araçatuba;181618
152;Santa Bárbara d'Oeste;180148
153;Barra Mansa;177861
154;Rio Verde;176502
155;Luziânia;174546
156;Castanhal;173096
157;Angra dos Reis;169270
158;Mesquita;168403
159;Ferraz de Vasconcelos;168290
160;Guarapuava;167463
161;Teresópolis;163805
162;Lauro de Freitas;163414
163;São José de Ribamar;163045
164;Nossa Senhora do Socorro;160829
165;Águas Lindas de Goiás;159505
166;Ibirité;159026
167;Nilópolis;157483
168;Lages;156737
169;Timon;155460
170;Caxias;155129
171;Francisco Morato;154538
172;Itu;154200
173;Parauapebas;153942
174;Poços de Caldas;152496
175;Itapecerica da Serra;152380
176;Jequié;151921
177;Araguaína;150520
178;São Caetano do Sul;149571
179;Pindamonhangaba;147034
180;Bragança Paulista;146663
181;Parnaíba;145729
182;Camaragibe;144506
183;Itapetininga;144416
184;Jaraguá do Sul;143206
185;Alagoinhas;142160
186;Linhares;141254
187;Abaetetuba;141054
188;Paranaguá;140450
189;Patos de Minas;138836
190;Teixeira de Freitas;138491
191;Queimados;137938
192;Barreiras;137428
193;Mogi Guaçu;137286
194;Palhoça;137199
195;Teófilo Otoni;134733
196;Valparaíso de Goiás;132947
197;Franco da Rocha;131603
198;Jaú;131068
199;Sapucaia do Sul;130988
200;Pouso Alegre;130586
201;Vitória de Santo Antão;130540
202;Garanhuns;129392
203;Maricá;127519
204;Botucatu;127370
205;Porto Seguro;126770
206;Atibaia;126614
207;Barbacena;126325
208;Sabará;126219
209;Uruguaiana;125507
210;Varginha;123120
211;Crato;121462
212;Cametá;120904
213;Apucarana;120884
214;Santa Rita;120333
215;Resende;119801
216;Toledo;119353
217;Araucária;119207
218;Araras;118898
219;Cubatão;118797
220;Cachoeirinha;118294
221;Santa Cruz do Sul;118287
222;Codó;118038
223;Simões Filho;118020
224;Pinhais;117166
225;Bagé;116792
226;Ji-Paraná;116610
227;Conselheiro Lafaiete;116527
228;Itapipoca;116065
229;Bragança;113165
230;Sinop;113082
231;Ribeirão Pires;113043
232;Maranguape;112926
233;Catanduva;112843
234;Campo Largo;112486
235;Barretos;112102
236;Guaratinguetá;112091
237;Araruama;112028
238;Colatina;111794
239;Sertãozinho;110094
240;Araguari;109779
241;Itabira;109551
242;Itaguaí;109163
243;São Mateus;109067
244;Santana de Parnaíba;108875
245;Votorantim;108872
246;Birigui;108722
247;Jandira;108436
248;Paulo Afonso;108419
249;Marituba;108251
250;Balneário Camboriú;108107
251;Tatuí;107975
252;Bento Gonçalves;107341
253;Várzea Paulista;107146
254;Valinhos;106968
255;Passos;106313
256;Poá;106033
257;Rio das Ostras;105757
258;Salto;105569
259;Brusque;105495
260;Guarapari;105227
261;Paço do Lumiar;105121
262;Altamira;105030
263;Vespasiano;104612
264;Trindade;104506
265;Arapongas;104161
266;Açailândia;104047
267;Coronel Fabriciano;103797
268;Corumbá;103772
269;Almirante Tamandaré;103245
270;Ourinhos;103026
271;São Lourenço da Mata;102956
272;Parintins;102066
273;Igarassu;101987
274;Três Lagoas;101722
275;Ubá;101466
276;Itatiba;101450
277;Santana;101203
278;Caraguatatuba;100899
279;Muriaé;100861
280;Umuarama;100716
281;Patos;100695
282;Eunápolis;100246
283;Formosa;100084
284;Bacabal;100014
285;Altamira;96842
286;Almirante Tamandaré;96739
287;Cambé;96555
288;Guaíba;96467
289;Iguatu;96201
290;Ituiutaba;96122
291;Tubarão;95855
292;Santana;95733
293;Abreu e Lima;95670
294;Paragominas;95479
295;Bayeux;95470
296;Formosa;94717
297;Caraguatatuba;94598
298;Tucuruí;94015
299;Itumbiara;91843
300;Araxá;91703
301;Lagarto;91696
302;Lavras;91333
303;Rio das Ostras;91085
304;Barcarena;89909
305;Itajubá;89730
306;Itapeva;89197
307;Três Lagoas;88592
308;Valença;88542
309;Leme;88299
310;Itacoatiara;87896
311;Moji Mirim;87800
312;Santo Antônio de Jesus;87776
313;Novo Gama;87558
314;Cáceres;86805
315;Cachoeira do Sul;86750
316;Caieiras;86698
317;Piraquara;86012
318;Itanhaém;85977
319;Itabaiana;85725
320;Jataí;85491
321;Campo Mourão;85460
322;Patrocínio;85293
323;Manacapuru;85279
324;Itaúna;85070
325;São João del Rei;84930
326;Caratinga;84825
327;Santana do Livramento;84779
328;Santa Inês;84582
329;Ariquemes;84581
330;Caçapava;84406
331;Avaré;83744
332;Sarandi;83486
333;São João da Boa Vista;83369
334;Pará de Minas;83282
335;São Pedro da Aldeia;82951
336;Paracatu;82850
337;Lorena;82391
338;Paranavaí;82133
339;Paulínia;81544
340;Balsas;81497
341;Candeias;81306
342;Esteio;81131
343;Barra do Corda;81027
344;Votuporanga;80819
345;Tangará da Serra;79870
346;Ubatuba;79834
347;São Gonçalo do Amarante;79776
348;Catalão;79618
349;Alegre (Espírito Santo)te;79548
350;Quixadá;79505
351;Serra Talhada;79484
352;Cruzeiro;79418
353;Ijuí;79412
354;Fazenda Rio Grande;79255
355;Guanambi;79190
356;Planaltina;79162
357;Araripina;79104
358;Timóteo;79100
359;Arujá;78960
360;Jacobina;78842
361;Santa Cruz do Capibaribe;78410
362;Cacoal;78263
363;Matão;77682
364;Seropédica;77618
365;Manhuaçu;77598
366;Mairiporã;77443
367;Unaí;77433
368;Bebedouro;77430
369;Aracruz;77414
