"EMPLOYEE_NO","START_DATE_DATE","START_DATE_TIME","END_DATE_DATE","END_DATE_TIME","AIR_FARE","OTHER_TRANSPORTATION","ACCOMMODATION","MEALS","INCIDENTALS","SUBTOTAL","HOSPITALITY","OTHER_EXPENSES","TOTAL","DESTINATION","MINISTRY","POSITION","PURPOSE"
"1453","20091030","00:00:00","20101015","00:00:00",0.00,177.50,0.00,0.00,0.00,177.50,0.00,0.00,177.50,"Toronto, ON","Finance","Deputy Minister","Routine expenses related to Ministry's operations for the months of October 2009 to April 2010"
"1044","20091118","00:00:00","20091118","00:00:00",0.00,0.00,0.00,11.17,0.00,11.17,0.00,0.00,11.17,"Toronto, ON","Children and Youth Services","Minister","Breakfast meeting with representative from the United Way, Toronto."
"1044","20091124","00:00:00","20091124","00:00:00",0.00,0.00,0.00,34.95,0.00,34.95,0.00,0.00,34.95,"Toronto, ON","Children and Youth Services","Minister","Breakfast with Co-Director of the Autism Research Unit at SickKids, Departmental Paediatrician"
"1470","20091124","00:00:00","20100107","00:00:00",0.00,24.00,0.00,0.00,0.00,24.00,0.00,0.00,24.00,"Toronto","Attorney General","Assistant Deputy Attorney General","Business meeting travel"
"1209","20091215","00:00:00","20100317","00:00:00",0.00,527.04,0.00,0.00,195.27,722.31,0.00,0.00,722.31,"Downsview, ON","Transportation","Chief Information Officer","Routine expenses related to ministry operations December 2009 to March 2010"
"1044","20091216","00:00:00","20091216","00:00:00",0.00,0.00,0.00,17.34,0.00,17.34,0.00,0.00,17.34,"Toronto, ON","Children and Youth Services","Minister","Breakfast meeting with Stakeholder."
"1453","20091217","00:00:00","20091217","00:00:00",2978.57,0.00,114.45,0.00,0.00,3093.02,0.00,0.00,3093.02,"Whitehorse, YT","Finance","Deputy Minister","Travel for Federal,Provincial,Territorial Meeting"
"1209","20100104","00:00:00","20100326","00:00:00",0.00,358.50,0.00,0.00,0.00,358.50,0.00,0.00,358.50,"St. Catharines, ON","Transportation","Chief Information Officer","Routine expenses related to ministry operations January to March 2010"
"1108","20100107","00:00:00","20100611","00:00:00",0.00,68.50,0.00,0.00,0.00,68.50,0.00,0.00,68.50,"Toronto, ON","Government Services","Chief Information Officer","Routine expenses related to the ministry's operations from January to June"
"1184","20100112","00:00:00","20100414","00:00:00",0.00,168.50,0.00,8.75,0.00,177.25,0.00,0.00,177.25,"Toronto, ON; Peterborough, ON; Guelph, ON","Natural Resources","Chief Information Officer","Normal monthly expenses to travel to meetings in TOR and to satellite offices fo r the months of Jan - Apr"
"1044","20100113","00:00:00","20100113","00:00:00",0.00,0.00,0.00,24.11,0.00,24.11,0.00,0.00,24.11,"Toronto, ON","Children and Youth Services","Minister","Breakfast meeting at the Ontario Federation of Indian Friendship Centre."
"1044","20100114","00:00:00","20100114","00:00:00",0.00,0.00,0.00,16.78,0.00,16.78,0.00,0.00,16.78,"Toronto, ON","Children and Youth Services","Minister","Breakfast meeting with Provincial Advocate."
"1037","20100117","00:00:00","20100120","00:00:00",1305.44,0.00,0.00,39.42,84.03,1428.89,0.00,0.00,1428.89,"Brussels, Belgium","Economic Development","Assistant Deputy Minister","Travel re Canada/EU Trade Negotiation"
"1439","20100121","00:00:00","20100408","00:00:00",0.00,34.00,0.00,0.00,0.00,34.00,0.00,0.00,34.00,"Toronto, ON","Energy and Infrastructure","Staff to Minister","Parking expense ? January to April 2010"
"1325","20100124","00:00:00","20100615","00:00:00",0.00,284.70,0.00,0.00,0.00,284.70,0.00,0.00,284.70,"Toronto, ON","Economic Development","Assistant Deputy Minister","Jan. 24 - June 15 - Routine business expenses"
"1236","20100127","00:00:00","20100128","00:00:00",0.00,158.74,94.50,0.00,79.01,332.25,0.00,0.00,332.25,"Fort Frances, Atikokan, Rainy River, ON","Northern Development and Mines","Staff to Minister","Grand Opening of the Rainy River Abattoir; Meeting with Mayor and Economic Devel opment Officers"
"1440","20100201","00:00:00","20100503","00:00:00",1159.25,136.00,1151.26,26.53,0.00,2473.04,0.00,0.00,2473.04,"Denver, Colorado (USA)","Education","Assistant Deputy Minister","2010 Annual Meeting - American Educational Research Association"
"1009","20100203","00:00:00","20100607","00:00:00",0.00,0.00,142.90,344.28,0.00,487.18,0.00,0.00,487.18,"Ottawa, Toronto, London, Lindsay, ON","Attorney General","Staff to Minister","Accompanied Minister at Ministry events"
"1390","20100203","00:00:00","20100203","00:00:00",0.00,162.75,0.00,0.00,0.00,162.75,0.00,0.00,162.75,"Windsor/Toronto, ON","Transportation","Staff to Minister","MTO meeting"
"1048","20100204","00:00:00","20100603","00:00:00",0.00,79.75,1043.74,97.56,0.00,1221.05,0.00,0.00,1221.05,"Brockville, Toronto, Sudbury, Ottawa, Bracebridge, ON","Community Safety and Correctional Services","Fire Marshal of Ontario","Routine expenses related to the ministry's operations from February to June."
"1462","20100208","00:00:00","20100326","00:00:00",410.78,29.00,0.00,0.00,0.00,439.78,0.00,0.00,439.78,"Toronto, Ottawa, ON","Office of the Premier","Staff to Minister","Parking to attend finance roundtable; Trip to Queens Park to attend communicatio n and policy meetings around the 2010 Ontario Budget"
"1086","20100211","00:00:00","20100326","00:00:00",0.00,68.65,0.00,72.46,0.00,141.11,0.00,0.00,141.11,"Toronto ON","Revenue","Assistant Deputy Minister","Travel for various government business meetings within the GTA."
"1184","20100218","00:00:00","20100429","00:00:00",0.00,94.25,0.00,34.34,0.00,128.59,0.00,0.00,128.59,"Toronto, ON; Guelph, ON; Peterborough, ON","Natural Resources","Chief Information Officer","Government meetings in Toronto and satellite offices"
"1206","20100218","00:00:00","20100218","00:00:00",0.00,69.84,0.00,0.00,18.80,88.64,0.00,0.00,88.64,"Kitchener, On","Finance","Staff to Minister","Pre-budget consultation"
"1360","20100218","00:00:00","20100219","00:00:00",0.00,42.59,0.00,0.00,20.05,62.64,0.00,0.00,62.64,"Waterloo, ON","Economic Development","Staff to Minister","Staffed Minister Pupatello at AGFA event in Waterloo."
"1003","20100219","00:00:00","20100219","00:00:00",0.00,6.00,0.00,0.00,0.00,6.00,0.00,0.00,6.00,"Toronto, ON","Office of the Premier","Staff to Minister","Provided media support for Premier's speech to Ontario Elementary Catholic Teach er's Association"
"1158","20100221","00:00:00","20100223","00:00:00",0.00,46.00,0.00,0.00,0.00,46.00,0.00,0.00,46.00,"Toronto, ON","Northern Development and Mines","Minister","Rural Ontario Municipal Association (ROMA); Ontario Good Roads Association (OGRA ) conference 2010"
"1284","20100223","00:00:00","20100519","00:00:00",0.00,112.00,0.00,0.00,0.00,112.00,0.00,0.00,112.00,"Toronto, ON","Transportation","Deputy Minister","Routine Expenses related to the ministry's operations for the months February, A pril and May"
"1160","20100224","00:00:00","20100322","00:00:00",832.58,123.20,124.30,0.00,0.00,1080.08,0.00,0.00,1080.08,"Kingston ON, Sudbury ON, Durham ON & York ON","Education","Assistant Deputy Minister","4 Best Start Networks Meetings"
"1133","20100225","00:00:00","20100323","00:00:00",826.79,54.00,142.38,0.00,0.00,1023.17,0.00,0.00,1023.17,"Toronto, ON","Office of the Premier","Staff to Minister","February and March 2010 Expense"
"1360","20100225","00:00:00","20100226","00:00:00",0.00,49.81,119.90,0.00,105.91,275.62,0.00,0.00,275.62,"Widnsor, ON","Economic Development","Staff to Minister","Staffed Minister Pupatello at the FORD announcement in Windsor."
"1456","20100225","00:00:00","20100225","00:00:00",0.00,48.96,0.00,0.00,37.02,85.98,0.00,0.00,85.98,"Niagara, ON","Economic Development","Staff to Minister","Meeting at Buyer-Seller Forum. Meeting with City of Welland Officials."
"1370","20100303","00:00:00","20100429","00:00:00",0.00,0.00,111.87,191.40,0.00,303.27,0.00,0.00,303.27,"Kitchener, Toronto, Trenton/Peterbrough,","Training, Colleges and Universities","Staff to Minister","Expenses for staffing Minister - Driver"
"1040","20100304","00:00:00","20100305","00:00:00",0.00,48.00,0.00,11.29,0.00,59.29,0.00,0.00,59.29,"Timmins, ON","Northern Development and Mines","Staff to Minister","Northern Ontario Heritage Fund Corporation (NOHFC) Board Meeting"
"1044","20100304","00:00:00","20100304","00:00:00",0.00,0.00,0.00,158.71,0.00,158.71,0.00,0.00,158.71,"Toronto, On","Children and Youth Services","Minister","Lunch with Stakeholders"
